PSU Readback Voltage,PSU Readback Current,PSU Voltage Set,Load Current Set,DMM Voltage Measured,key,Programming/Voltage Absolute Error (V),Relative/Voltage Percentage Error (%),PSU Readback Voltage Error (V),PSU Readback Voltage Percentage Error (%)
13.99839,2.99951,14.0,3.0,13.9993905,2,-0.0006094999999994855,-0.0006094999999994855,-0.0010004999999999598,-0.0010004999999999598
14.99982,2.99951,15.0,3.0,14.99998,2,-1.9999999999242846e-05,-1.9999999999242846e-05,-0.0001600000000010482,-0.0001600000000010482
16.00026,2.99951,16.0,3.0,16.0006093,2,0.000609300000000701,0.000609300000000701,-0.0003492999999998858,-0.0003492999999998858
16.9987,2.99951,17.0,3.0,16.99929,2,-0.0007100000000015427,-0.0007100000000015427,-0.0005899999999989802,-0.0005899999999989802
17.99918,2.99951,18.0,3.0,17.9998528,2,-0.00014720000000068012,-0.00014720000000068012,-0.000672800000000251,-0.000672800000000251
19.00069,2.99951,19.0,3.0,19.000405,2,0.00040500000000065484,0.00040500000000065484,0.00028499999999809233,0.00028499999999809233
20.00121,2.99951,20.0,3.0,20.0009165,2,0.0009164999999988765,0.0009164999999988765,0.0002935000000015009,0.0002935000000015009
20.99973,2.99951,21.0,3.0,20.99953,2,-0.00046999999999997044,-0.00046999999999997044,0.00019999999999953388,0.00019999999999953388
22.0003,2.99951,22.0,3.0,22.0000567,2,5.6699999998244266e-05,5.6699999998244266e-05,0.00024330000000105656,0.00024330000000105656
23.00089,2.99951,23.0,3.0,23.0005117,2,0.0005117000000005589,0.0005117000000005589,0.0003782999999977221,0.0003782999999977221
24.00048,2.999835,24.0,3.0,23.9991937,2,-0.0008063000000007037,-0.0008063000000007037,0.0012863000000002955,0.0012863000000002955
25.00111,2.99951,25.0,3.0,24.9996352,2,-0.0003647999999998319,-0.0003647999999998319,0.0014748000000004424,0.0014748000000004424
26.00176,2.999835,26.0,3.0,26.0002491,2,0.00024910000000133437,0.00024910000000133437,0.0015108999999995376,0.0015108999999995376
27.00243,2.99951,27.0,3.0,27.0007698,2,0.0007698000000004868,0.0007698000000004868,0.0016601999999998895,0.0016601999999998895
28.0011,2.99951,28.0,3.0,27.9995212,2,-0.0004787999999997794,-0.0004787999999997794,0.0015788000000007685,0.0015788000000007685
29.00282,2.99951,29.0,3.0,29.0001124,2,0.00011239999999901329,0.00011239999999901329,0.0027076000000008094,0.0027076000000008094
30.00355,2.999835,30.0,3.0,30.0007896,2,0.0007896000000009451,0.0007896000000009451,0.002760399999999663,0.002760399999999663
31.00431,2.99951,31.0,3.0,31.0014337,2,0.0014336999999997602,0.0014336999999997602,0.002876300000000498,0.002876300000000498
32.00306,2.99951,32.0,3.0,32.0000458,2,4.580000000231621e-05,4.580000000231621e-05,0.003014199999995526,0.003014199999995526
1.000936,3.999885,1.0,4.0,1.00029742,3,0.0002974200000001037,0.0002974200000001037,0.0006385799999999442,0.0006385799999999442
2.00108,3.999559,2.0,4.0,2.00048138,3,0.00048138000000008674,0.00048138000000008674,0.0005986199999998831,0.0005986199999998831
2.999226,3.999885,3.0,4.0,2.99896266,3,-0.0010373399999998867,-0.0010373399999998867,0.0002633400000000563,0.0002633400000000563
3.999412,3.999885,4.0,4.0,3.99940513,3,-0.0005948700000000251,-0.0005948700000000251,6.86999999999216e-06,6.86999999999216e-06
4.999619,3.999559,5.0,4.0,4.99985297,3,-0.00014702999999993693,-0.00014702999999993693,-0.00023397000000002777,-0.00023397000000002777
5.999847,3.999885,6.0,4.0,6.00035826,3,0.00035825999999961056,0.00035825999999961056,-0.0005112599999996803,-0.0005112599999996803
6.998078,3.999885,7.0,4.0,6.99894638,3,-0.0010536200000004214,-0.0010536200000004214,-0.0008683800000000019,-0.0008683800000000019
7.998348,3.999885,8.0,4.0,7.99947133,3,-0.0005286699999995648,-0.0005286699999995648,-0.001123330000000422,-0.001123330000000422
8.999648,3.999885,9.0,4.0,9.00002614,3,2.6139999999230668e-05,2.6139999999230668e-05,-0.0003781399999986945,-0.0003781399999986945
9.997941,3.999885,10.0,4.0,9.99867866,3,-0.0013213400000005038,-0.0013213400000005038,-0.0007376599999986411,-0.0007376599999986411
10.99827,3.999885,11.0,4.0,10.9992755,3,-0.0007245000000004609,-0.0007245000000004609,-0.0010054999999997705,-0.0010054999999997705
11.99964,3.999885,12.0,4.0,11.9998245,3,-0.00017549999999921795,-0.00017549999999921795,-0.00018450000000136413,-0.00018450000000136413
13.00001,3.999885,13.0,4.0,13.0006954,3,0.0006953999999996796,0.0006953999999996796,-0.0006854000000000582,-0.0006854000000000582
13.99839,3.999885,14.0,4.0,13.999355,3,-0.0006450000000004508,-0.0006450000000004508,-0.0009649999999989944,-0.0009649999999989944
14.99982,3.999885,15.0,4.0,14.999937,3,-6.30000000008124e-05,-6.30000000008124e-05,-0.00011699999999947863,-0.00011699999999947863
16.00026,3.999559,16.0,4.0,16.0004862,3,0.0004862000000009914,0.0004862000000009914,-0.00022620000000017626,-0.00022620000000017626
16.9987,3.999885,17.0,4.0,16.9991877,3,-0.000812299999999766,-0.000812299999999766,-0.00048770000000075697,-0.00048770000000075697
17.99918,3.999885,18.0,4.0,17.9997694,3,-0.00023059999999830438,-0.00023059999999830438,-0.0005894000000026267,-0.0005894000000026267
19.00069,3.999885,19.0,4.0,19.0002475,3,0.0002475000000004002,0.0002475000000004002,0.000442499999998347,0.000442499999998347
20.00121,3.999885,20.0,4.0,20.0008238,3,0.000823799999999153,0.000823799999999153,0.00038620000000122445,0.00038620000000122445
20.99973,3.999885,21.0,4.0,20.9993841,3,-0.0006158999999996695,-0.0006158999999996695,0.00034589999999923293,0.00034589999999923293
22.0003,3.999559,22.0,4.0,21.999883,3,-0.00011699999999947863,-0.00011699999999947863,0.00041699999999877946,0.00041699999999877946
23.00089,3.999885,23.0,4.0,23.0003855,3,0.0003855000000001496,0.0003855000000001496,0.0005044999999981314,0.0005044999999981314
24.00048,3.999885,24.0,4.0,23.9990329,3,-0.0009671000000004426,-0.0009671000000004426,0.0014471000000000345,0.0014471000000000345
25.0001,3.999885,25.0,4.0,24.9995525,3,-0.00044749999999993406,-0.00044749999999993406,0.000547499999999701,0.000547499999999701
26.00176,3.999885,26.0,4.0,26.000117,3,0.00011699999999947863,0.00011699999999947863,0.0016430000000013933,0.0016430000000013933
27.00243,3.999885,27.0,4.0,27.0006389,3,0.0006388999999984435,0.0006388999999984435,0.0017911000000019328,0.0017911000000019328
28.0011,3.999885,28.0,4.0,27.9993873,3,-0.0006127000000013538,-0.0006127000000013538,0.001712700000002343,0.001712700000002343
29.00181,3.999885,29.0,4.0,28.9999989,3,-1.0999999986438525e-06,-1.0999999986438525e-06,0.001811099999997623,0.001811099999997623
30.00355,3.999885,30.0,4.0,30.0006542,3,0.0006541999999996051,0.0006541999999996051,0.002895800000001003,0.002895800000001003
31.00431,3.999885,31.0,4.0,31.0011991,3,0.0011991000000008967,0.0011991000000008967,0.0031108999999993614,0.0031108999999993614
32.00306,3.999885,32.0,4.0,32.0000275,3,2.7500000001623448e-05,2.7500000001623448e-05,0.0030324999999962188,0.0030324999999962188
1.000936,4.998943,1.0,5.0,1.00021103,4,0.00021103000000000094,0.00021103000000000094,0.000724970000000047,0.000724970000000047
2.000071,4.998943,2.0,5.0,2.00044694,4,0.00044693999999978473,0.00044693999999978473,-0.00037593999999963046,-0.00037593999999963046
